# x,rho,A0_scalar,C0_scalar,M0_scalar,A0_proca,C0_proca,M0_proca,A0_proca_nr_radial,C0_proca_nr_radial,M0_proca_nr_radial,A0_scalar_sp,C0_scalar_sp,M0_scalar_sp,A2_scalar,C2_scalar,A2_proca,C2_proca
7.060599565712844878e+02,8.143111969909030412e-01,1.000000261017205405e+00,1.000002646468463041e+00,9.214687429112583300e-05,1.000000000274613665e+00,1.000000734491874876e+00,9.694685624167932653e-08,1.000000000274147371e+00,1.000000734489937537e+00,9.678221640517597565e-08,1.000000260982738753e+00,1.000002646433914899e+00,9.213473056241745546e-05,-1.426033070125263890e-13,-2.124433266207493122e-06,4.043467258720088870e-15,-7.339423082095840364e-07
7.322103253331839596e+02,8.444708709535291291e-01,1.000000278295985368e+00,1.000002653910034400e+00,1.018855686216511391e-04,1.000000000316113580e+00,1.000000734522883628e+00,1.157308135380243985e-07,1.000000000316384696e+00,1.000000734521524715e+00,1.158300666432212296e-07,1.000000278232745288e+00,1.000002653894229043e+00,1.018624444330747824e-04,-1.507586270164148014e-13,-2.097317275320707748e-06,4.333472053951886479e-15,-7.338903185687213246e-07
7.583606940950833177e+02,8.746305449161551060e-01,1.000000295841199982e+00,1.000002661373426527e+00,1.121771357073443896e-04,1.000000000364107855e+00,1.000000734558730953e+00,1.380625428131600102e-07,1.000000000363106212e+00,1.000000734556505622e+00,1.376827320390405261e-07,1.000000295758440849e+00,1.000002661339396637e+00,1.121457882284891976e-04,-1.588762873348291651e-13,-2.069690235389009733e-06,4.635540697772495292e-15,-7.338301788012183755e-07
7.845110628569827895e+02,9.047902188787811939e-01,1.000000313594944235e+00,1.000002668848791521e+00,1.230093129194988666e-04,1.000000000416398471e+00,1.000000734597777274e+00,1.633346036297386245e-07,1.000000000415448786e+00,1.000000734595504426e+00,1.629620477130763133e-07,1.000000313567202204e+00,1.000002668825520136e+00,1.229984694983788989e-04,-1.669564664458934612e-13,-2.041658108729758640e-06,4.944670378411946351e-15,-7.337646447566903573e-07
8.106614316188821476e+02,9.349498928414071708e-01,1.000000331665894304e+00,1.000002676315646877e+00,1.344343297521664708e-04,1.000000000473115103e+00,1.000000734640117850e+00,1.917680832175712489e-07,1.000000000472970996e+00,1.000000734638391453e+00,1.917096620309704153e-07,1.000000331613954963e+00,1.000002676297804927e+00,1.344133216949786546e-04,-1.749377296362094371e-13,-2.012983059746092979e-06,5.260780474515836005e-15,-7.336935533616507472e-07
8.368118003807816194e+02,9.651095668040332587e-01,1.000000349927829379e+00,1.000002683748167476e+00,1.464118172162092997e-04,1.000000000536159783e+00,1.000000734687166215e+00,2.243324167514220125e-07,1.000000000535967271e+00,1.000000734685396742e+00,2.242518988954779007e-07,1.000000349865816318e+00,1.000002683729210862e+00,1.463859217961659435e-04,-1.828147312961069488e-13,-1.983891705786065266e-06,5.586083295200115515e-15,-7.336145138984724924e-07
8.629621691426810912e+02,9.952692407666593466e-01,1.000000368333051393e+00,1.000002691147158895e+00,1.589286859596383686e-04,1.000000000605921313e+00,1.000000734739207919e+00,2.614435853515301330e-07,1.000000000604744033e+00,1.000000734736758545e+00,2.609356265640514368e-07,1.000000368317901289e+00,1.000002691142585221e+00,1.589222075499544982e-04,-1.906018766415856797e-13,-1.954480248219020712e-06,5.920041933430382451e-15,-7.335270335764354229e-07
8.891125379045805630e+02,1.025428914729285435e+00,1.000000386942139663e+00,1.000002698462497452e+00,1.720174873281905814e-04,1.000000000681045886e+00,1.000000734795233992e+00,3.027632182222392299e-07,1.000000000679782231e+00,1.000000734792798385e+00,3.022014883494345393e-07,1.000000386902285987e+00,1.000002698447649108e+00,1.719998366828737451e-04,-1.982073472883994689e-13,-1.924577404095828171e-06,6.260394313549020489e-15,-7.334328122660653903e-07
9.152629066664799211e+02,1.055588588691911411e+00,1.000000405664985381e+00,1.000002705687174975e+00,1.856449815299879562e-04,1.000000000761769314e+00,1.000000734855418738e+00,3.486095984053604485e-07,1.000000000762203856e+00,1.000000734854132878e+00,3.488084970852542486e-07,1.000000405632354816e+00,1.000002705697604632e+00,1.856301240845496250e-04,-2.056467965556174380e-13,-1.894356383825398547e-06,6.607154931675467975e-15,-7.333315516642616908e-07
9.414132754283792792e+02,1.085748262654537388e+00,1.000000424467278437e+00,1.000002712834676677e+00,1.997994806365385333e-04,1.000000000852287352e+00,1.000000734922872558e+00,4.011773137342965580e-07,1.000000000851486437e+00,1.000000734920610146e+00,4.008003399227463119e-07,1.000000424456613191e+00,1.000002712832279705e+00,1.997945452325257322e-04,-2.129502249996492106e-13,-1.863899292618743202e-06,6.963879494061044858e-15,-7.332179708526844489e-07
