# R,rho,minus_Psi2_num,Phi2_num,phi1_pg_sq_over_16,phi1_pg,h00_2_num,chi_2_num,minus_Psi0_PG,minus_Phi0_PG,minus_PhiN_SP
2.596536916501141334e+01,1.478225625105687779e+00,1.297421129876127205e-06,7.181630834024816611e-07,7.147853997048355931e-07,3.381799283706436818e-03,2.594842259752254410e-06,-1.436326166804963322e-06,2.627233414230822905e-03,2.635561709701583766e-03,2.641147509322899767e-03
2.661506946637177506e+01,1.515213492599746914e+00,1.240736065460110518e-06,6.956705327093359949e-07,6.924227630561730211e-07,3.328477761514829318e-03,2.481472130920221036e-06,-1.391341065418671990e-06,2.605782675603907084e-03,2.614086787472325035e-03,2.619865018309884726e-03
2.726480110577293559e+01,1.552203144189177930e+00,1.185630225609230967e-06,6.734563185302911516e-07,6.703357865301714404e-07,3.274961463053075762e-03,2.371260451218461934e-06,-1.346912637060582303e-06,2.584205040243481299e-03,2.592480399236096744e-03,2.598447524672158407e-03
2.791456382638048339e+01,1.589194565252227465e+00,1.132139275194718464e-06,6.515451660102749020e-07,6.485490746751528594e-07,3.221301785738561654e-03,2.264278550389436928e-06,-1.303090332020549804e-06,2.562518958676929248e-03,2.570761086037265386e-03,2.576913047211447979e-03
2.856435733674543798e+01,1.626187739196513160e+00,1.080290425798519083e-06,6.299598609517044938e-07,6.270853085484412988e-07,3.167548726819377752e-03,2.160580851597038166e-06,-1.259919721903408988e-06,2.540742394899486722e-03,2.548946919123662447e-03,2.555279173319661718e-03
2.921418131288938014e+01,1.663182647577728934e+00,1.030103009115081181e-06,6.087212681673029380e-07,6.059652631183470079e-07,3.113750826558469437e-03,2.060206018230162361e-06,-1.217442536334605876e-06,2.518892807945316559e-03,2.527055479985107489e-03,2.533563039696100968e-03
2.986403540039656690e+01,1.700179270218752370e+00,9.815888557444894108e-07,5.878483573067241649e-07,5.852078328987154642e-07,3.059955118360308153e-03,1.963177711488978822e-06,-1.175696714613448330e-06,2.496987135879924491e-03,2.505103842789679902e-03,2.511780827334103485e-03
3.051391921650365902e+01,1.737177585328613993e+00,9.347529205357748422e-07,5.673582366166754283e-07,5.648300651278335575e-07,3.006207085688765001e-03,1.869505841071549684e-06,-1.134716473233350857e-06,2.475041782140252611e-03,2.483108559173663465e-03,2.489948737998164390e-03
3.116383235217865888e+01,1.774177569620851713e+00,8.895935988096573960e-07,5.472661939717384420e-07,5.448471997948531392e-07,2.952550625597747617e-03,1.779187197619314792e-06,-1.094532387943476884e-06,2.453072604151174119e-03,2.461085645312888204e-03,2.468084134707703488e-03
3.181377437418049325e+01,1.811179198430764803e+00,8.461033147656900344e-07,5.275857434120003106e-07,5.252727158159096676e-07,2.899028018673595764e-03,1.692206629531380069e-06,-1.055171486824000621e-06,2.431094904130681744e-03,2.439050571218626118e-03,2.446202130252636553e-03
